Tanggal,PPT,,,OTG,OTG,,,PDP,,,Negatif,Positif,Sembuh,Kematian
,Baru,Selesai ,Masih,,Baru,Selesai ,Masih,Baru,Kumulatif,,,,,
16-Mar-20,0,0,241,0,0,0,0,0,0,,0,0,0,0
17-Mar-20,0,0,344,0,0,0,0,0,0,,0,0,0,0
18-Mar-20,0,0,435,0,0,0,0,0,0,,0,0,0,0
19-Mar-20,0,0,443,0,0,0,20,0,0,,0,0,0,0
20-Mar-20,0,0,472,0,0,0,21,0,4,,0,0,0,0
21-Mar-20,0,0,491,0,0,0,19,0,4,,0,0,0,0
22-Mar-20,0,0,643,0,0,0,26,0,4,,0,0,0,0
23-Mar-20,193,20,836,0,23,5,44,1,5,,0,0,0,0
24-Mar-20,230,20,1026,0,59,6,97,0,5,,0,0,0,0
25-Mar-20,151,38,1139,0,10,13,94,0,5,,0,0,0,0
26-Mar-20,245,13,1347,0,33,48,79,1,6,,0,2,0,0
27-Mar-20,316,32,1631,0,28,17,90,1,7,,0,3,0,1
28-Mar-20,332,28,1935,0,52,17,125,1,8,,4,4,0,1
29-Mar-20,222,39,2118,0,14,37,102,0,8,,4,4,0,1
30-Mar-20,357,88,2387,0,16,25,93,1,9,,4,5,0,1
31-Mar-20,386,46,2727,0,25,22,96,2,11,,4,6,0,1
1-Apr-20,267,99,2895,0,15,36,75,0,11,,4,6,0,1
2-Apr-20,238,59,3074,0,15,8,82,4,15,,4,8,0,1
3-Apr-20,309,94,3289,200,11,19,74,3,18,,4,8,0,1
4-Apr-20,213,131,3371,204,6,11,69,0,18,,4,8,0,1
5-Apr-20,135,112,3394,204,11,11,69,0,18,,4,8,0,1
6-Apr-20,156,170,3380,216,9,21,57,4,22,,5,12,0,1
7-Apr-20,188,140,3428,223,13,12,58,3,25,,9,15,0,1
8-Apr-20,132,189,3371,228,6,26,38,3,28,,9,15,2,1
9-Apr-20,110,194,3371,251,2,4,36,0,30,,9,18,2,2
10-Apr-20,110,194,3287,251,2,4,36,0,30,,9,18,4,2
11-Apr-20,98,171,3018,254,6,16,26,2,32,,10,19,4,2
12-Apr-20,174,214,2978,274,2,12,16,11,43,,11,30,4,2
13-Apr-20,73,166,2885,272,3,6,13,1,44,,12,31,4,2
14-Apr-20,158,144,2889,294,1,1,13,4,48,,12,33,4,3
15-Apr-20,177,203,2873,329,18,6,25,5,53,,12,37,4,3
16-Apr-20,170,130,2913,361,16,3,38,1,54,,13,37,4,4
17-Apr-20,117,152,2644,390,6,7,37,4,58,,13,40,7,4
18-Apr-20,102,105,2875,435,6,5,38,10,68,,13,48,8,6
19-Apr-20,104,102,2877,442,14,8,44,2,70,,15,48,8,6
20-Apr-20,104,87,2894,465,7,9,42,2,72,,15,48,8,7
21-Apr-20,198,179,2913,480,13,4,51,4,76,,15,50,9,7
22-Apr-20,139,122,2930,486,7,13,45,0,80,,15,50,11,7
23-Apr-20,127,109,2948,147,4,12,37,0,81,,15,53,11,8
24-Apr-20,122,62,3008,152,8,3,42,9,90,,16,59,13,8
25-Apr-20,113,88,3033,155,6,5,43,0,96,,16,61,13,9
26-Apr-20,78,111,3000,165,14,10,47,0,100,,21,64,13,9
27-Apr-20,27,70,2975,145,0,9,38,0,112,,21,78,14,11
28-Apr-20,58,71,2944,107,9,3,44,0,130,,22,96,15,11
29-Apr-20,50,136,2858,153,3,7,40,0,133,,23,97,17,12
30-Apr-20,24,101,2781,179,7,8,39,0,138,,28,99,19,12
1-May-20,17,95,2703,137,3,6,36,0,146,,30,107,19,12
2-May-20,14,72,2645,119,2,7,31,0,148,,35,108,20,12
3-May-20,31,54,2622,50,5,5,31,0,160,,35,117,22,12
4-May-20,2,99,2599,208,10,10,31,0,166,,35,118,24,12
5-May-20,5,96,2508,226,3,0,34,0,186,,37,131,24,13
6-May-20,11,85,2434,365,5,18,21,0,99,,40,137,27,13
7-May-20,4,132,2306,356,12,4,29,0,116,,47,139,27,13
8-May-20,14,68,2252,361,22,0,51,0,118,,36,153,36,14
9-May-20,8,59,2201,447,18,3,66,0,123,,56,166,36,14
10-May-20,8,54,2155,293,10,3,73,0,130,,60,177,40,14
11-May-20,2,48,2109,479,5,4,74,0,135,,60,177,40,14
12-May-20,12,35,2086,110,15,3,86,0,145,,60,189,43,15
13-May-20,2,24,2064,125,15,8,93,0,153,,60,203,44,16
14-May-20,1,19,2046,293,15,0,108,0,164,,72,230,45,16
15-May-20,9,30,2025,392,22,7,123,0,175,,79,249,47,16
16-May-20,7,17,2015,381,15,0,138,0,188,,81,250,53,16
17-May-20,12,5359,7377,223,0,586,736,0,197,,93,261,57,16
18-May-20,6,5382,7371,193,0,586,739,0,202,,104,262,57,16
19-May-20,5,5436,7381,111,0,572,749,0,214,,105,270,64,16
20-May-20,8,5575,7392,54,0,615,761,0,217,,115,275,68,17
21-May-20,13,5493,7246,41,0,668,766,0,229,,119,279,74,17
22-May-20,4,5711,7405,36,0,630,771,0,232,,119,279,87,17
23-May-20,0,5798,7401,80,0,738,784,0,241,,129,284,90,17
24-May-20,5,5958,7411,36,0,739,739,0,241,,129,308,100,17
25-May-20,6,6084,7418,36,0,753,784,0,244,,129,308,100,17
26-May-20,0,6232,7412,143,0,756,787,0,247,,133,339,112,17
27-May-20,4,6351,7420,423,0,762,810,0,252,,139,357,127,18
28-May-20,5,6480,7426,449,0,767,832,0,273,,155,361,129,18
29-May-20,0,6644,7421,507,0,767,837,0,281,,159,361,137,18
30-May-20,4,6755,7429,336,0,779,842,0,292,,169,369,145,18
31-May-20,0,6811,7425,122,0,790,858,0,296,,169,384,152,18
1-Jun-20,1,6881,7427,122,0,813,862,0,299,,179,384,152,18
2-Jun-20,2,6979,7430,132,0,816,862,0,301,,179,389,155,18
3-Jun-20,9,7024,7446,184,0,819,874,0,324,,179,395,177,18
4-Jun-20,6,7065,7449,97,0,823,879,0,333,,179,403,189,18
5-Jun-20,0,7095,7443,113,0,832,880,0,336,,179,416,193,20
6-Jun-20,9,7136,7461,95,0,835,886,0,345,,186,424,195,20
7-Jun-20,15,7182,7482,74,0,836,889,0,350,,196,429,202,20
8-Jun-20,1,7214,7469,192,0,836,892,0,359,,198,429,202,20
9-Jun-20,0,7252,7468,128,0,839,894,0,362,,212,447,211,22
10-Jun-20,2,7292,7492,75,0,845,896,0,368,,213,462,228,22
11-Jun-20,0,7313,7474,116,0,845,907,0,374,,235,464,228,22
12-Jun-20,4,7346,7480,161,0,846,919,0,385,,240,474,238,22
13-Jun-20,3,7366,7482,628,0,846,922,0,394,,247,477,243,22
14-Jun-20,2,7398,7483,378,0,849,924,0,394,,254,484,249,23
15-Jun-20,1,7424,7483,443,0,868,924,0,404,,265,484,252,23
16-Jun-20,1,7440,7484,157,0,872,930,0,406,,271,488,280,23
17-Jun-20,10,7456,7503,235,0,874,940,0,413,,275,492,284,23
18-Jun-20,7,7466,7507,195,0,885,945,0,416,,284,497,297,23
19-Jun-20,11,7472,7522,344,0,915,958,0,426,,286,501,304,23
20-Jun-20,0,7476,7511,467,0,918,979,0,426,,292,502,310,23
21-Jun-20,0,7482,7511,313,0,50,991,0,445,,297,502,314,23
22-Jun-20,0,7487,7811,374,0,931,993,0,447,,447,502,314,23
23-Jun-20,2,7490,7515,404,0,964,1005,0,449,,298,502,344,23
24-Jun-20,0,7492,7513,182,0,973,1024,0,476,,333,502,364,23
25-Jun-20,5,7492,7523,167,0,974,1025,0,483,,341,504,380,23
26-Jun-20,0,7497,7518,190,0,975,1032,0,493,,347,504,391,23
27-Jun-20,0,7497,7518,66,0,987,1052,0,500,,354,506,402,23
28-Jun-20,2,7499,7520,41,0,1005,1066,0,507,,364,506,405,23
29-Jun-20,4,7502,7526,41,0,1032,1084,0,511,,379,506,405,23
30-Jun-20,3,7505,7528,305,0,1047,1115,0,517,,388,506,418,23
1-Jul-20,3,7507,7531,488,0,1053,1135,0,527,,393,519,424,23
2-Jul-20,5,7515,7538,352,0,1064,1157,0,529,,410,523,432,23
3-Jul-20,28,7530,7588,403,0,1082,1180,0,536,,413,532,434,23
5-Jul-20,0,7532,7574,236,0,1105,1201,0,549,,430,546,436,23
6-Jul-20,6,7532,7586,284,0,1164,1205,0,549,,436,546,436,23
7-Jul-20,5,7532,7590,335,0,1220,1231,0,559,,448,549,446,23
8-Jul-20,0,7532,7585,236,0,1241,1246,0,565,,449,549,449,24
9-Jul-20,3,7532,7591,143,0,1252,1261,0,575,,464,551,452,24
10-Jul-20,0,7532,7588,178,0,1253,1272,0,582,,475,558,457,24
11-Jul-20,0,7532,7588,131,0,1263,1275,0,584,,490,561,460,24
12-Jul-20,2,7535,7592,61,0,1272,1297,0,592,,501,563,464,24
13-Jul-20,0,7581,7590,61,0,1277,1297,0,592,,508,563,464,24
14-Jul-20,0,7581,7590,79,0,1287,1309,0,599,,521,565,473,24
15-Jul-20,0,7581,7590,82,0,1316,1345,0,605,,527,566,474,24
16-Jul-20,0,7583,7590,89,0,1319,1370,0,612,,527,567,477,24
17-Jul-20,0,7583,7588,23,0,1361,1397,0,622,,531,567,478,24
18-Jul-20,1,7587,7592,20,0,1392,1410,0,623,,539,570,481,24
19-Jul-20,0,7588,7591,49,0,1416,1441,0,625,,544,578,484,25
20-Jul-20,0,7588,7591,49,0,1444,1441,0,626,,546,578,484,25
21-Jul-20,0,7588,7591,37,0,1458,1460,0,630,,547,581,487,25
22-Jul-20,0,7588,7591,38,0,1470,1474,0,640,,553,591,488,25
23-Jul-20,0,7589,7591,70,0,1476,1487,0,643,,554,592,491,25
24-Jul-20,0,7589,7591,41,0,1480,1501,0,647,,559,595,491,25
25-Jul-20,0,7590,7591,60,0,1485,1518,0,650,,567,603,499,25
26-Jul-20,0,7590,7591,63,0,1508,1545,0,653,,570,606,506,25
27-Jul-20,1,7951,7953,0,0,0,0,0,0,,0,606,513,25
28-Jul-20,0,0,0,0,0,0,0,0,0,,0,609,515,25
29-Jul-20,0,0,0,0,0,0,0,0,0,,0,625,521,25
30-Jul-20,0,0,0,0,0,0,0,0,0,,0,637,523,26
31-Jul-20,0,7590,7591,0,0,0,38,0,0,,0,661,526,26
1-Aug-20,4,7595,7599,0,0,0,96,0,0,,0,661,526,26
2-Aug-20,4,7595,7599,0,0,0,105,0,0,,0,668,533,26
3-Aug-20,0,7595,7603,0,0,0,96,0,0,,0,681,535,26
4-Aug-20,0,7595,7603,0,0,0,145,0,0,,0,683,538,26
5-Aug-20,0,7595,7597,0,0,0,202,0,0,,0,698,541,26
6-Aug-20,0,7595,7605,0,0,0,239,0,0,,0,709,546,26
7-Aug-20,0,7596,7611,0,0,0,210,0,0,,0,745,552,26
8-Aug-20,0,7596,7611,0,0,0,149,0,0,,0,761,557,26
9-Aug-20,0,7597,7613,0,0,0,273,0,0,,0,772,560,26
10-Aug-20,0,7597,7615,0,0,0,251,0,0,,0,787,568,26
11-Aug-20,0,7597,7615,0,0,0,149,0,0,,0,792,582,26
12-Aug-20,0,7597,7618,0,0,0,141,0,0,,0,813,585,27
13-Aug-20,0,7602,7626,0,0,0,166,0,0,,0,820,597,28
14-Aug-20,0,7608,7639,0,0,0,242,0,0,,0,839,608,28
15-Aug-20,0,7612,7645,0,0,0,378,0,0,,0,863,618,28
16-Aug-20,0,7618,7645,0,0,0,438,0,0,,0,868,629,28
17-Aug-20,0,7618,7645,0,0,0,498,0,0,,0,879,647,28
18-Aug-20,0,7618,7645,0,0,0,363,0,0,,0,897,649,29
19-Aug-20,0,7620,7660,0,0,0,221,0,0,,0,905,661,31
20-Aug-20,0,7625,7668,0,0,0,115,0,0,,0,920,673,31
21-Aug-20,0,7625,7668,0,0,0,109,0,0,,0,944,691,32
22-Aug-20,0,7625,7668,0,0,0,57,0,0,,0,972,693,33
23-Aug-20,0,7627,7669,0,0,0,116,0,0,,0,993,716,33
24-Aug-20,0,7630,7673,0,0,0,38,0,0,,0,1005,724,33
25-Aug-20,0,7636,7680,0,0,0,205,0,0,,0,1034,749,33
26-Aug-20,0,7636,7680,0,0,0,195,0,0,,0,1085,766,35
27-Aug-20,0,7638,7687,0,0,0,200,0,0,,0,1096,784,35
28-Aug-20,0,7643,7698,0,0,0,173,0,0,,0,1112,791,36
29-Aug-20,0,7646,7698,0,0,0,188,0,0,,0,1157,799,37
30-Aug-20,0,7646,7700,0,0,0,179,0,0,,0,1192,827,37
31-Aug-20,0,7657,7708,0,0,0,246,0,0,,0,1224,837,37
1-Sep-20,0,7657,7708,0,0,0,162,0,0,,0,1242,839,37
2-Sep-20,0,7663,7718,0,0,0,162,0,0,,0,1266,887,37
3-Sep-20,0,7688,7741,0,0,0,158,0,0,,0,1285,895,37
4-Sep-20,0,7694,7747,0,0,0,164,0,0,,0,1330,930,39
5-Sep-20,0,7694,7754,0,0,0,176,0,0,,0,1360,937,39
6-Sep-20,0,7696,7754,0,0,0,201,0,0,,0,1448,958,39
7-Sep-20,0,7754,7811,0,0,0,200,0,0,,0,1462,987,39
8-Sep-20,0,7697,7754,0,0,0,193,0,0,,0,1518,1007,39
9-Sep-20,0,7700,7766,0,0,0,246,0,0,,0,1566,1046,39
10-Sep-20,0,7766,7826,0,0,0,260,0,0,,0,1591,1059,39
11-Sep-20,0,7717,7766,0,0,0,205,0,0,,0,1604,1088,39
12-Sep-20,0,7717,7768,0,0,0,187,0,0,,0,1667,1089,39
13-Sep-20,0,7717,7768,0,0,0,186,0,0,,0,1705,1103,42
14-Sep-20,0,7717,7770,0,0,0,167,0,0,,0,1760,1142,43
15-Sep-20,0,7707,7760,0,0,0,189,0,0,,0,1824,1156,48
16-Sep-20,0,7727,7770,0,0,0,250,0,0,,0,1850,1191,48
17-Sep-20,0,7727,7780,0,0,0,268,0,0,,0,1908,1213,48
18-Sep-20,0,7747,7798,0,0,0,259,0,0,,0,1952,1258,49
19-Sep-20,0,7750,7804,0,0,0,335,0,0,,0,2029,1259,50
20-Sep-20,0,7750,7804,0,0,0,287,0,0,,0,2082,1324,51
21-Sep-20,0,7760,7824,0,0,0,298,0,0,,0,2171,1398,51
22-Sep-20,0,7760,7824,0,0,0,259,0,0,,0,2277,1412,52
23-Sep-20,0,7760,7824,0,0,0,260,0,0,,0,2385,1505,54
24-Sep-20,0,7760,7824,0,0,0,274,0,0,,0,2501,1539,57
25-Sep-20,0,7760,7824,0,0,0,297,0,0,,0,2616,1589,58
26-Sep-20,0,7760,7824,0,0,0,326,0,0,,0,2718,1647,60
27-Sep-20,0,7760,7824,0,0,0,309,0,0,,0,2791,1675,61
28-Sep-20,0,7760,7824,0,0,0,272,0,0,,0,2886,1699,62
29-Sep-20,0,7760,7824,0,0,0,256,0,0,,0,2989,1712,62
30-Sep-20,0,7760,7824,0,0,0,252,0,0,,0,3029,1773,64
1-Oct-20,0,7760,7824,0,0,0,267,0,0,,0,3126,1863,67
2-Oct-20,0,7760,7824,0,0,0,305,0,0,,0,3231,1973,70
3-Oct-20,0,7760,7824,0,0,0,273,0,0,,0,3330,2045,75
4-Oct-20,0,7760,7824,0,0,0,225,0,0,,0,3470,2135,78
5-Oct-20,0,7760,7824,0,0,0,218,0,0,,0,3600,2232,80
6-Oct-20,0,7760,7824,0,0,0,199,0,0,,0,3640,2310,80
7-Oct-20,0,7760,7824,0,0,0,177,0,0,,0,3799,2397,81
8-Oct-20,0,7760,7824,0,0,0,181,0,0,,0,3929,2446,81
9-Oct-20,0,7760,7824,0,0,0,303,0,0,,0,4059,2542,84
10-Oct-20,0,7760,7824,0,0,0,321,0,0,,0,4177,2617,86
11-Oct-20,0,7760,7824,0,0,0,354,0,0,,0,4406,2672,88
12-Oct-20,0,7760,7824,0,0,0,278,0,0,,0,4529,2752,89
13-Oct-20,0,7760,7824,0,0,0,403,0,0,,0,4680,2817,91
14-Oct-20,0,7815,7855,0,0,0,444,0,0,,0,4971,2894,92
15-Oct-20,0,7817,7859,0,0,0,420,0,0,,0,5227,3069,93
16-Oct-20,0,7817,7859,0,0,0,370,0,0,,0,5574,3113,99
17-Oct-20,0,7817,7859,0,0,0,432,0,0,,0,5812,3190,101
18-Oct-20,0,7817,7859,0,0,0,500,0,0,,0,5978,3225,102
19-Oct-20,0,7817,7859,0,0,0,488,0,0,,0,6124,3327,103
20-Oct-20,0,7836,7861,0,0,0,453,0,0,,0,6237,3438,105
21-Oct-20,0,7840,7861,0,0,0,398,0,0,,0,6426,3555,106
22-Oct-20,0,7840,7865,0,0,0,397,0,0,,0,6572,3640,106
23-Oct-20,0,7840,7865,0,0,0,395,0,0,,0,6735,3700,110
24-Oct-20,0,7842,7887,0,0,0,395,0,0,,0,6941,3813,111
25-Oct-20,0,7842,7887,0,0,0,404,0,0,,0,7205,3893,114
26-Oct-20,0,7842,7887,0,0,0,363,0,0,,0,7367,4035,120
27-Oct-20,0,7862,7914,0,0,0,398,0,0,,0,7554,4153,121
28-Oct-20,0,7862,7914,0,0,0,499,0,0,,0,7721,4910,124
29-Oct-20,0,7862,7914,0,0,0,437,0,0,,0,7958,5092,126
30-Oct-20,0,7862,7914,0,0,0,432,0,0,,0,8138,5189,129
31-Oct-20,0,7862,7914,0,0,0,386,0,0,,0,8339,5426,131
1-Nov-20,0,7882,7914,0,0,0,387,0,0,,0,8482,5926,134
2-Nov-20,0,7882,7914,0,0,0,286,0,0,,0,8584,6491,137
3-Nov-20,0,7882,7914,0,0,0,283,0,0,,0,8616,6596,140
4-Nov-20,0,7892,7937,0,0,0,434,0,0,,0,8709,6849,141
5-Nov-20,0,7892,7937,0,0,0,354,0,0,,0,8874,7012,145
6-Nov-20,0,7892,7937,0,0,0,426,0,0,,0,8958,7243,146
7-Nov-20,0,7892,7937,0,0,0,374,0,0,,0,9052,7575,153
8-Nov-20,0,7892,7937,0,0,0,340,0,0,,0,9150,7727,154
9-Nov-20,0,7892,7937,0,0,0,236,0,0,,0,9223,7838,154
10-Nov-20,0,7932,7937,0,0,0,358,0,0,,0,9274,8027,158
11-Nov-20,0,7937,7937,0,0,0,411,0,0,,0,9398,8151,159
12-Nov-20,0,7937,7937,0,0,0,439,0,0,,0,9479,8251,164
13-Nov-20,0,7937,7937,0,0,0,484,0,0,,0,9553,8356,171
14-Nov-20,0,7937,7937,0,0,0,449,0,0,,0,9689,8475,176
15-Nov-20,0,7937,7952,0,0,0,183,0,0,,0,9782,8556,177
16-Nov-20,0,7937,7952,0,0,0,369,0,0,,0,9801,8626,179
17-Nov-20,0,7937,7952,0,0,0,369,0,0,,0,9847,8726,181
18-Nov-20,0,7977,7997,0,0,0,365,0,0,,0,9964,8859,189
19-Nov-20,0,7960,7977,0,0,0,371,0,0,,0,10043,8964,190
20-Nov-20,0,7960,7977,0,0,0,328,0,0,,0,10130,9064,193
21-Nov-20,0,7960,7977,0,0,0,339,0,0,,0,10219,9158,201
22-Nov-20,0,7960,7977,0,0,0,188,0,0,,0,10328,9207,203
23-Nov-20,0,7960,7977,0,0,0,406,0,0,,0,10336,9239,203
24-Nov-20,0,7960,7977,0,0,0,469,0,0,,0,10369,9340,203
25-Nov-20,0,7960,7977,0,0,0,452,0,0,,0,10465,9431,207
26-Nov-20,0,7960,7977,0,0,0,216,0,0,,0,10563,9495,209
27-Nov-20,0,7960,7977,0,0,0,415,0,0,,0,10657,9583,210
28-Nov-20,0,7960,7977,0,0,0,526,0,0,,0,10754,9659,213
29-Nov-20,0,7960,7977,0,0,0,293,0,0,,0,10905,9722,214
30-Nov-20,0,7977,7977,0,0,0,262,0,0,,0,10960,9750,215
1-Dec-20,0,7977,7977,0,0,0,300,0,0,,0,10980,9835,216
2-Dec-20,0,7977,7977,0,0,0,319,0,0,,0,11080,9892,218
3-Dec-20,0,7992,8007,0,0,0,344,0,0,,0,11147,9973,219
4-Dec-20,0,7992,8007,0,0,0,355,0,0,,0,11229,10142,223
5-Dec-20,0,7992,8007,0,0,0,408,0,0,,0,11277,10224,226
6-Dec-20,0,7992,8007,0,0,0,414,0,0,,0,11335,10324,226
7-Dec-20,0,7992,8007,0,0,0,257,0,0,,0,11376,10359,228
8-Dec-20,0,7992,8007,0,0,0,374,0,0,,0,11413,10421,230
9-Dec-20,0,7992,8007,0,0,0,309,0,0,,0,11486,10524,232
10-Dec-20,0,7992,8007,0,0,0,252,0,0,,0,11541,10593,233
11-Dec-20,0,8007,8007,0,0,0,228,0,0,,0,11578,10719,234
12-Dec-20,0,8007,8007,0,0,0,228,0,0,,0,11620,10819,236
13-Dec-20,0,8007,8007,0,0,0,273,0,0,,0,11659,10884,236
14-Dec-20,0,8007,8007,0,0,0,273,0,0,,0,11689,10907,237
15-Dec-20,0,8007,8007,0,0,0,221,0,0,,0,11704,10993,238
16-Dec-20,0,8007,8007,0,0,0,282,0,0,,0,11772,11069,239
17-Dec-20,0,8007,8007,0,0,0,222,0,0,,0,11807,11115,240
18-Dec-20,0,8007,8007,0,0,0,260,0,0,,0,11864,11146,240
19-Dec-20,0,8007,8007,0,0,0,229,0,0,,0,11931,11179,240
20-Dec-20,0,8007,8007,0,0,0,173,0,0,,0,11985,11253,242
21-Dec-20,0,8007,8007,0,0,0,238,0,0,,0,12043,11265,242
22-Dec-20,0,8007,8007,0,0,0,295,0,0,,0,12065,11335,245
23-Dec-20,0,8007,8007,0,0,0,322,0,0,,0,12139,11406,249
24-Dec-20,0,8007,8007,0,0,0,384,0,0,,0,12179,11482,250
25-Dec-20,0,8007,8007,0,0,0,335,0,0,,0,12228,11547,250
26-Dec-20,0,8007,8007,0,0,0,282,0,0,,0,12252,11581,251
27-Dec-20,0,8007,8007,0,0,0,204,0,0,,0,12289,11617,252
28-Dec-20,0,8007,8007,0,0,0,204,0,0,,0,12298,11627,252
29-Dec-20,0,8007,8007,0,0,0,291,0,0,,0,12333,11683,254
30-Dec-20,0,8007,8007,0,0,0,363,0,0,,0,12401,11758,255
31-Dec-20,0,8007,8007,0,0,0,319,0,0,,0,12446,11788,255
1-Jan-21,0,8007,8007,0,0,0,293,0,0,,0,12511,11837,256
2-Jan-21,0,8007,8007,0,0,0,288,0,0,,0,12527,11851,256
3-Jan-21,0,8007,8007,0,0,0,325,0,0,,0,12571,11883,257
4-Jan-21,0,8007,8007,0,0,0,263,0,0,,0,12586,11891,257
5-Jan-21,0,8007,8007,0,0,0,375,0,0,,0,12610,11916,259
6-Jan-21,0,8007,8007,0,0,0,415,0,0,,0,12706,11939,259
7-Jan-21,0,8007,8007,0,0,0,334,0,0,,0,12775,11976,260
8-Jan-21,0,8007,8007,0,0,0,334,0,0,,0,12825,12089,260
9-Jan-21,0,8007,8007,0,0,0,295,0,0,,0,12872,12137,261
10-Jan-21,0,8007,8007,0,0,0,286,0,0,,0,12872,12161,262
11-Jan-21,0,8007,8007,0,0,0,289,0,0,,0,12872,12172,262
12-Jan-21,0,8007,8007,0,0,0,289,0,0,,0,12895,12215,262
13-Jan-21,0,8007,8007,0,0,0,258,0,0,,0,12933,12306,264
14-Jan-21,0,8007,8007,0,0,0,258,0,0,,0,12995,12376,264
15-Jan-21,0,8007,8007,0,0,0,349,0,0,,0,13028,12422,265
16-Jan-21,0,8007,8007,0,0,0,379,0,0,,0,13059,12454,265
17-Jan-21,0,8007,8007,0,0,0,285,0,0,,0,13115,12475,265
18-Jan-21,0,8007,8007,0,0,0,334,0,0,,0,13128,12484,265
19-Jan-21,0,8007,8007,0,0,0,327,0,0,,0,13154,12563,266
20-Jan-21,0,8007,8007,0,0,0,456,0,0,,0,13194,12601,267
21-Jan-21,0,8007,8007,0,0,0,418,0,0,,0,13233,12644,268
22-Jan-21,0,8007,8007,0,0,0,293,0,0,,0,13270,12690,268
23-Jan-21,0,8007,8007,0,0,0,298,0,0,,0,13306,12726,268
24-Jan-21,0,8007,8007,0,0,0,286,0,0,,0,13332,12753,268
25-Jan-21,0,8007,8007,0,0,0,263,0,0,,0,13348,12761,270
26-Jan-21,0,8007,8007,0,0,0,198,0,0,,0,13355,12824,270
27-Jan-21,0,8007,8007,0,0,0,325,0,0,,0,13385,12855,271
28-Jan-21,0,8007,8007,0,0,0,294,0,0,,0,13416,12891,272
29-Jan-21,0,8007,8007,0,0,0,320,0,0,,0,13434,12913,275
30-Jan-21,0,8007,8007,0,0,0,322,0,0,,0,13462,12952,275
31-Jan-21,0,8007,8007,0,0,0,263,0,0,,0,13490,12972,275
1-Feb-21,0,8007,8007,0,0,0,308,0,0,,0,13504,12988,275
2-Feb-21,0,8007,8007,0,0,0,294,0,0,,0,13515,13029,276
3-Feb-21,0,8007,8007,0,0,0,280,0,0,,0,13564,13051,277
4-Feb-21,0,8007,8007,0,0,0,334,0,0,,0,13593,13074,278
5-Feb-21,0,8007,8007,0,0,0,324,0,0,,0,13611,13103,279
6-Feb-21,0,8007,8007,0,0,0,292,0,0,,0,13639,13138,279
7-Feb-21,0,8007,8007,0,0,0,299,0,0,,0,13698,13161,280
8-Feb-21,0,8007,8007,0,0,0,293,0,0,,0,13711,13169,280
9-Feb-21,0,8007,8007,0,0,0,377,0,0,,0,13737,13212,280
10-Feb-21,0,8007,8007,0,0,0,415,0,0,,0,13819,13228,281
11-Feb-21,0,8007,8007,0,0,0,372,0,0,,0,13849,13258,281
12-Feb-21,0,8007,8007,0,0,0,364,0,0,,0,13903,13266,282
